cell_id,POS,unimorph
ARGNO3.ARGNOSG.ARGAC3.ARGACPL.future,V,ARGNO3S;ARGAC3P;IND;FUT
ARGNO1.ARGNOPL.ARGAC3.ARGACPL.future,V,ARGNO1P;ARGAC3P;IND;FUT
ARGNO2.ARGNOPL.ARGAC3.ARGACPL.future,V,ARGNO2P;ARGAC3P;IND;FUT
ARGNO3.ARGNOPL.ARGAC3.ARGACPL.future,V,ARGNO3P;ARGAC3P;IND;FUT
ARGNO2.ARGNOSG.ARGAC1.ARGACSG.conditional,V,ARGNO2S;ARGAC1S;COND
ARGNO3.ARGNOSG.ARGAC1.ARGACSG.conditional,V,ARGNO3S;ARGAC1S;COND
ARGNO2.ARGNOPL.ARGAC1.ARGACSG.conditional,V,ARGNO2P;ARGAC1S;COND
ARGNO3.ARGNOPL.ARGAC1.ARGACSG.conditional,V,ARGNO3P;ARGAC1S;COND
ARGNO1.ARGNOSG.ARGAC2.ARGACSG.conditional,V,ARGNO1S;ARGAC2S;COND
ARGNO3.ARGNOSG.ARGAC2.ARGACSG.conditional,V,ARGNO3S;ARGAC2S;COND
ARGNO1.ARGNOPL.ARGAC2.ARGACSG.conditional,V,ARGNO1P;ARGAC2S;COND
ARGNO3.ARGNOPL.ARGAC2.ARGACSG.conditional,V,ARGNO3P;ARGAC2S;COND
ARGNO1.ARGNOSG.ARGAC3.ARGACSG.conditional,V,ARGNO1S;ARGAC3S;COND
ARGNO2.ARGNOSG.ARGAC3.ARGACSG.conditional,V,ARGNO2S;ARGAC3S;COND
ARGNO3.ARGNOSG.ARGAC3.ARGACSG.conditional,V,ARGNO3S;ARGAC3S;COND
ARGNO1.ARGNOPL.ARGAC3.ARGACSG.conditional,V,ARGNO1P;ARGAC3S;COND
ARGNO2.ARGNOPL.ARGAC3.ARGACSG.conditional,V,ARGNO2P;ARGAC3S;COND
ARGNO3.ARGNOPL.ARGAC3.ARGACSG.conditional,V,ARGNO3P;ARGAC3S;COND
ARGNO2.ARGNOSG.ARGAC1.ARGACPL.conditional,V,ARGNO2S;ARGAC1P;COND
ARGNO3.ARGNOSG.ARGAC1.ARGACPL.conditional,V,ARGNO3S;ARGAC1P;COND
ARGNO2.ARGNOPL.ARGAC1.ARGACPL.conditional,V,ARGNO2P;ARGAC1P;COND
ARGNO3.ARGNOPL.ARGAC1.ARGACPL.conditional,V,ARGNO3P;ARGAC1P;COND
ARGNO1.ARGNOSG.ARGAC2.ARGACPL.conditional,V,ARGNO1S;ARGAC2P;COND
ARGNO3.ARGNOSG.ARGAC2.ARGACPL.conditional,V,ARGNO3S;ARGAC2P;COND
ARGNO1.ARGNOPL.ARGAC2.ARGACPL.conditional,V,ARGNO1P;ARGAC2P;COND
ARGNO3.ARGNOPL.ARGAC2.ARGACPL.conditional,V,ARGNO3P;ARGAC2P;COND
ARGNO1.ARGNOSG.ARGAC3.ARGACPL.conditional,V,ARGNO1S;ARGAC3P;COND
ARGNO2.ARGNOSG.ARGAC3.ARGACPL.conditional,V,ARGNO2S;ARGAC3P;COND
ARGNO3.ARGNOSG.ARGAC3.ARGACPL.conditional,V,ARGNO3S;ARGAC3P;COND
ARGNO1.ARGNOPL.ARGAC3.ARGACPL.conditional,V,ARGNO1P;ARGAC3P;COND
ARGNO2.ARGNOPL.ARGAC3.ARGACPL.conditional,V,ARGNO2P;ARGAC3P;COND
ARGNO3.ARGNOPL.ARGAC3.ARGACPL.conditional,V,ARGNO3P;ARGAC3P;COND
ARGNO2.ARGNOSG.ARGAC1.ARGACSG.SBJV.FUT,V,ARGNO2S;ARGAC1S;SBJV;FUT
ARGNO3.ARGNOSG.ARGAC1.ARGACSG.SBJV.FUT,V,ARGNO3S;ARGAC1S;SBJV;FUT
ARGNO2.ARGNOPL.ARGAC1.ARGACSG.SBJV.FUT,V,ARGNO2P;ARGAC1S;SBJV;FUT
ARGNO3.ARGNOPL.ARGAC1.ARGACSG.SBJV.FUT,V,ARGNO3P;ARGAC1S;SBJV;FUT
ARGNO1.ARGNOSG.ARGAC2.ARGACSG.SBJV.FUT,V,ARGNO1S;ARGAC2S;SBJV;FUT
ARGNO3.ARGNOSG.ARGAC2.ARGACSG.SBJV.FUT,V,ARGNO3S;ARGAC2S;SBJV;FUT
ARGNO1.ARGNOPL.ARGAC2.ARGACSG.SBJV.FUT,V,ARGNO1P;ARGAC2S;SBJV;FUT
ARGNO3.ARGNOPL.ARGAC2.ARGACSG.SBJV.FUT,V,ARGNO3P;ARGAC2S;SBJV;FUT
ARGNO1.ARGNOSG.ARGAC3.ARGACSG.SBJV.FUT,V,ARGNO1S;ARGAC3S;SBJV;FUT
ARGNO2.ARGNOSG.ARGAC3.ARGACSG.SBJV.FUT,V,ARGNO2S;ARGAC3S;SBJV;FUT
ARGNO3.ARGNOSG.ARGAC3.ARGACSG.SBJV.FUT,V,ARGNO3S;ARGAC3S;SBJV;FUT
ARGNO1.ARGNOPL.ARGAC3.ARGACSG.SBJV.FUT,V,ARGNO1P;ARGAC3S;SBJV;FUT
ARGNO2.ARGNOPL.ARGAC3.ARGACSG.SBJV.FUT,V,ARGNO2P;ARGAC3S;SBJV;FUT
ARGNO3.ARGNOPL.ARGAC3.ARGACSG.SBJV.FUT,V,ARGNO3P;ARGAC3S;SBJV;FUT
ARGNO2.ARGNOSG.ARGAC1.ARGACPL.SBJV.FUT,V,ARGNO2S;ARGAC1P;SBJV;FUT
ARGNO3.ARGNOSG.ARGAC1.ARGACPL.SBJV.FUT,V,ARGNO3S;ARGAC1P;SBJV;FUT
